"Sl No","Number of Vote","Date of Votes","Title in English","Title in French","Result","Def. Result","keyword1","keyword2","keyword3","type","Institutions","Theme codes","Turnout","Valid Ballot Sheets","Yes [%]","No [%]","Number of Yes-Votes in National Council","Number of No-Votes in National Council","Number of Abstentions in National Council","Number of Yes-Votes in States Council","Number of No-Votes in States Council","Number of Abstentions in States Council","Recommendation of Government","Total Electorate","Number Of Voters","Yes Votes","No Votes","Number of States accepting","Number of States rejecting","Linked Vote Status","Linked Vote","Without Response","Tie-Break Question: Number of People Supporting","Tie-Break Question: Number of State Supporting","Tie-Break Question: Without Response"
552,76,1918-06-02,"Citizen's initiative ""Introduction of a direct federal tax""","Initiative populaire pour l'insertion dans la constitution fédérale d'un article 41bis et la modification de l'article 42  lettre f  de cette constitution (introduction de l'impôt fédéral direct)","no",NA,"Direct taxation","none","none","initiative","Initiative (Formulated Draft)","Direct taxation | none | none","65.4",602549,45.93,"54.07",NA,NA,NA,NA,NA,NA,"None",936096,612171,276735,325814,"7.5","14.5","none",NA,NA,0,NA,0
553,75,1917-05-13,"Federal decree concerning insertion of articles 41(2) and 42(g) into the Federal Constitution (stamp duty)","Arrêté fédéral portant insertion dans la constitution fédérale d'un article 41bis et d'un nouvel alinéa de l'article 42 sous lettre g (droit de timbre)","yes",NA,"Indirect taxation","Budget cuts and remediation measures","Armed forces - general","mandatory Referendum","Constitutional Referendum (Partialrevision)","Indirect taxation | Budget cuts and remediation measures | Armed forces - general","42.06",357977,53.16,"46.84",NA,NA,NA,NA,NA,NA,"None",894177,376063,190288,167689,"14.5","7.5","none",NA,NA,0,NA,0
554,74,1915-06-06,"Federal decree concerning enactment of a constitutional article relating to raising a non-recurring war tax","Arrêté fédéral concernant l'adoption d'un article constitutionnel en vue de la perception d'un impôt de guerre non renouvelable","yes",NA,"Direct taxation","Budget cuts and remediation measures","Armed forces - general","mandatory Referendum","Constitutional Referendum (Partialrevision)","Direct taxation | Budget cuts and remediation measures | Armed forces - general","56.02",479578,94.27,"5.73",NA,NA,NA,NA,NA,NA,"None",871476,488167,452117,27461,"22",NA,"none",NA,NA,0,NA,0
555,73,1914-10-25,"Federal decree concerning revision of article 103 of the Federal Constitution and insertion of article 114(2)","Arrêté fédéral concernant la revision de l'article 103 de la constitution fédérale et l'adjonction d'un article 114bis à la constitution fédérale","yes",NA,"Courts","Government, administration","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Courts | Government, administration | none","44.06",327825,62.35,"37.65",NA,NA,NA,NA,NA,NA,"None",851082,374977,204394,123431,"18","4","none",NA,NA,0,NA,0
556,72,1913-05-04,"Federal decree concerning revision of articles 69 and 31 (§ 2 d) of the Federal Constitution (combatting human and animal diseases)","Arrêté fédéral modifiant les articles 69 et 31  2e alinéa  lettre d  de la constitution fédérale (lutte contre les maladies de l'homme et des animaux)","yes",NA,"Health policy","Intergovernmental relations","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Health policy | Intergovernmental relations | none","36.04",280175,60.32,"39.68",NA,NA,NA,NA,NA,NA,"None",844175,304206,169012,111163,"16.5","4.5","none",NA,NA,0,NA,0
557,71,1912-02-04,"Federal law on health and accident insurance","Loi fédérale sur l'assurance en cas de maladie et d'accidents","yes",NA,"Health and accident insurance","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Health and accident insurance | none | none","64.26",528982,54.36,"45.64",NA,NA,NA,NA,NA,NA,"None",839212,539273,287565,241416,NA,NA,"none",NA,NA,0,NA,0
558,70,1910-10-23,"Citizen's initiative ""Proportional election of the National Council""","Initiative populaire tendant à appliquer le système proportionnel aux élections pour le Conseil national","no",NA,"Electoral system","Parliament","none","initiative","Initiative (Formulated Draft)","Electoral system | Parliament | none","62.34",505499,47.54,"52.46",NA,NA,NA,NA,NA,NA,"None",823679,513534,240305,265194,"12","10","none",NA,NA,0,NA,0
559,69,1908-10-25,"Federal decree on inserting supplementary article 24(2) into the Federal Constitution relating to federal legislation on exploiting water power and the transmission and use of electrical energy","Arrêté fédéral concernant la législation fédérale sur l'utilisation des forces hydrauliques  le transport et la distribution de l'énergie électrique (contre-projet: introduction dans la constitution fédérale d'un article 24bis)","yes",NA,"Hydro-electric power","none","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Hydro-electric power | none | none","48.27",361160,84.43,"15.57",NA,NA,NA,NA,NA,NA,"None",809406,390834,304923,56237,"21.5","0.5","none",NA,NA,0,NA,0
560,67,1908-07-05,"Federal decree on extension to the Federal Constitution in respect of the right to legislate on trade","Arrêté fédéral complétant la constitution fédérale en ce qui concerne le droit de légiférer en matière d'arts et métiers","yes",NA,"Economic policy","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Economic policy | none | none","48.7",325018,71.52,"28.48",NA,NA,NA,NA,NA,NA,"None",809545,394272,232457,92561,"21.5","0.5","none",NA,NA,0,NA,0
561,68,1908-07-05,"Citizen'snitiative ""Ban on absinthe""","Initiative populaire concernant l'interdiction de l'absinthe","yes",NA,"Addictive substances","none","none","initiative","Initiative (Formulated Draft)","Addictive substances | none | none","49.31",379747,63.48,"36.52",NA,NA,NA,NA,NA,NA,"None",809545,399217,241078,138669,"20","2","none",NA,NA,0,NA,0
562,66,1907-11-03,"Military organisation in the Swiss Confederation","Organisation militaire de la Confédération suisse","yes",NA,"Military organisation","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Military organisation | none | none","74.66",597558,55.22,"44.78",NA,NA,NA,NA,NA,NA,"None",808916,603931,329953,267605,NA,NA,"none",NA,NA,0,NA,0
563,65,1906-06-10,"Federal law on trading of foodstuffs and commodities","Loi fédérale sur le commerce des denrées alimentaires et de divers objets usuels","yes",NA,"Consumer protection","Intergovernmental relations","Health policy","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Consumer protection | Intergovernmental relations | Health policy","51.4",392157,62.58,"37.42",NA,NA,NA,NA,NA,NA,"None",784769,403417,245397,146760,NA,NA,"none",NA,NA,0,NA,0
564,64,1905-03-19,"Federal decree on revision of article 64 of the Federal Constitution (extension of patent rights)","Arrêté fédéral concernant  la revision de l'article 64 de la constitution fédérale (extension de la protection des inventions)","yes",NA,"Competition policy","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Competition policy | none | none","40.04",283122,70.35,"29.65",NA,NA,NA,NA,NA,NA,"None",776394,310905,199187,83935,"21.5","0.5","none",NA,NA,0,NA,0
565,61,1903-10-25,"Federal law on supplementing federal criminal law of 4 February 1853","Loi fédérale complétant le code pénal fédéral du 4 février 1853","no",NA,"Armed forces - general","Criminal law","Freedom of the media","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Armed forces - general | Criminal law | Freedom of the media","53.22",381779,30.83,"69.17",NA,NA,NA,NA,NA,NA,"None",768105,408885,117694,264085,NA,NA,"none",NA,NA,0,NA,0
566,62,1903-10-25,"Citizen's initiative ""Election of the National Council on the basis of the Swiss residential population""","Initiative populaire concernant la révision de l'article 72 de la constitution fédérale (élection du Conseil national basée sur la population de nationalité suisse)","no",NA,"Electoral system","Parliament","none","initiative","Initiative (Formulated Draft)","Electoral system | Parliament | none","53.25",390216,24.38,"75.62",NA,NA,NA,NA,NA,NA,"None",768105,409039,95131,295085,"4","18","none",NA,NA,0,NA,0
567,63,1903-10-25,"Federal decree concerning amendment to article 32(2) of the Federal Constitution","Arrêté fédéral portant modification de l'article 32bis de la constitution fédérale ","no",NA,"Addictive substances","Hospitality","Crop production","mandatory Referendum","Constitutional Referendum (Partialrevision)","Addictive substances | Hospitality | Crop production","53.09",384871,40.73,"59.27",NA,NA,NA,NA,NA,NA,"None",768105,407852,156777,228094,"4","18","none",NA,NA,0,NA,0
568,60,1903-03-15,"Federal law on Swiss customs duty","Loi fédérale sur le tarif des douanes","yes",NA,"Customs","Agricultural policy","Economic policy","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Customs | Agricultural policy | Economic policy","73.27",557124,59.59,"40.41",NA,NA,NA,NA,NA,NA,"None",768125,562869,332001,225123,NA,NA,"none",NA,NA,0,NA,0
569,59,1902-11-23,"Federal decree concerning federal support for public primary schools","Arrêté fédéral concernant la subvention de l'école primaire publique par la Confédération","yes",NA,"Schools","Intergovernmental relations","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Schools | Intergovernmental relations | none","46.63",338996,76.27,"23.73",NA,NA,NA,NA,NA,NA,"None",757320,353177,258567,80429,"21.5","0.5","none",NA,NA,0,NA,0
570,57,1900-11-04,"Citizen's initiative ""Proportional election of the Federal Council and an increase in the number of its members""","Initiative populaire tendant à l'introduction du système proportionnel dans les élections au Conseil national","no",NA,"Electoral system","Parliament","none","initiative","Initiative (Formulated Draft)","Electoral system | Parliament | none","58.75",413674,40.86,"59.14",NA,NA,NA,NA,NA,NA,"None",747262,439111,169008,244666,"10.5","11.5","none",NA,NA,0,NA,0
571,58,1900-11-04,"Citizen's initiative ""Proportional election of the National Council""","Initiative populaire tendant à la nomination du Conseil fédéral par le peuple","no",NA,"Electoral system","Government, administration","Citizens' rights","initiative","Initiative (Formulated Draft)","Electoral system | Government, administration | Citizens' rights","58.81",416448,35.04,"64.96",NA,NA,NA,NA,NA,NA,"None",747262,439498,145926,270522,"8","14","none",NA,NA,0,NA,0
572,56,1900-05-20,"Federal law on health and accident insurance  including military insurance","Loi fédérale sur l'assurance contre les maladies et les accidents  et sur l'assurance militaire","no",NA,"Health and accident insurance","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Health and accident insurance | none | none","66.73",489949,30.21,"69.79",NA,NA,NA,NA,NA,NA,"None",745228,497350,148035,341914,NA,NA,"none",NA,NA,0,NA,0
573,54,1898-11-13,"Federal decree concerning revision of article 64 of the Federal Constitution","Arrêté fédéral concernant la révision de l'article 64 de la Constitution fédérale ","yes",NA,"Private law","Intergovernmental relations","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Private law | Intergovernmental relations | none","52.75",366676,72.25,"27.75",NA,NA,NA,NA,NA,NA,"None",734075,387226,264914,101762,"16.5","5.5","none",NA,NA,0,NA,0
574,55,1898-11-13,"Federal decree concerning insertion of article 64(2) into the Federal Constitution","Arrêté fédéral concernant l'insertion d'un article 64bis dans la Constitution fédérale","yes",NA,"Criminal law","Intergovernmental relations","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Criminal law | Intergovernmental relations | none","52.79",368390,72.37,"27.63",NA,NA,NA,NA,NA,NA,"None",734075,387593,266610,101780,"16.5","5.5","none",NA,NA,0,NA,0
575,53,1898-02-20,"Federal law on acquisition and operation of railways at federal expense and the administrative organisation of the Swiss national railways","Loi fédérale concernant l'acquisition et l'exploitation des chemins de fer pour le compte de la Confédération  ainsi que l'organisation de l'administration des chemins de fer fédéraux","yes",NA,"Rail transport","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Rail transport | none | none","78.06",569352,67.91,"32.09","98","29","Not known","25","17","Not known","Acceptance",734644,573565,386634,182718,NA,NA,"none",NA,NA,0,NA,0
576,51,1897-07-11,"Federal decree on revision of article 24 of the Federal Constitution","Arrêté fédéral révisant l'article 24 de la constitution fédérale","yes",NA,"Forestry","Environmental policy","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Forestry | Environmental policy | none","38.66",245663,63.54,"36.46",NA,NA,NA,NA,NA,NA,"None",716883,277184,156102,89561,"16","6","none",NA,NA,0,NA,0
577,52,1897-07-11,"Federal decree concerning federal legislation on trade of foodstuffs and semi-luxury goods and of commodities which may endanger life or health","Arrêté fédéral concernant la législation fédérale sur le commerce des denrées alimentaires  ainsi que sur le commerce des articles de ménage et des objets usuels qui peuvent mettre en danger la santé ou la vie","yes",NA,"Consumer protection","Intergovernmental relations","Health policy","mandatory Referendum","Constitutional Referendum (Partialrevision)","Consumer protection | Intergovernmental relations | Health policy","38.75",249205,65.11,"34.89",NA,NA,NA,NA,NA,NA,"None",716883,277852,162250,86955,"18.5","3.5","none",NA,NA,0,NA,0
578,50,1897-02-28,"Federal law on setting up the Swiss National Bank","Loi fédérale créant une Banque de la Confédération suisse","no",NA,"National bank","Monetary policy","Intergovernmental relations","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","National bank | Monetary policy | Intergovernmental relations","64.59",451748,43.33,"56.67",NA,NA,NA,NA,NA,NA,"None",715342,462143,195764,255984,NA,NA,"none",NA,NA,0,NA,0
